Source Current = 1e-05A, Gate Voltage = -0.2V, Measurement Time = 2000s, Measurement interval = 1s 
Time [s],Source Voltage [V],Gate Current [A],Gate Voltage [V]
250,0.036931,-2.39611e-07,-0.2
251,0.036931,-2.51532e-07,-0.2
252,0.0369239,-2.36034e-07,-0.2
253,0.036912,-1.60933e-07,-0.2
254,0.0369167,-1.43051e-07,-0.2
255,0.0369167,-2.18153e-07,-0.2
256,0.0369334,-2.20537e-07,-0.2
257,0.0369239,-1.96695e-07,-0.2
258,0.036943,-2.00272e-07,-0.2
259,0.0369358,-1.74046e-07,-0.2
260,0.0369263,-1.74046e-07,-0.2
261,0.0369334,-1.60933e-07,-0.2
262,0.0369191,-1.29938e-07,-0.2
263,0.036931,-1.33514e-07,-0.2
264,0.0369263,-9.17912e-08,-0.2
265,0.0369143,-1.29938e-07,-0.2
266,0.0369263,-1.16825e-07,-0.2
267,0.0369191,-1.23978e-07,-0.2
268,0.0369024,-1.38283e-07,-0.2
269,0.036931,-6.4373e-08,-0.2
270,0.0369358,-1.72853e-07,-0.2
271,0.0368857,-1.03712e-07,-0.2
272,0.0368905,-1.34706e-07,-0.2
273,0.0369,-1.37091e-07,-0.2
274,0.0368738,-1.45435e-07,-0.2
275,0.0368762,-1.32322e-07,-0.2
276,0.0369,-1.49012e-07,-0.2
277,0.0368929,-1.3113e-07,-0.2
278,0.0369,-1.29938e-07,-0.2
279,0.036881,-1.41859e-07,-0.2
280,0.0368834,-1.33514e-07,-0.2
281,0.0368762,-5.36442e-08,-0.2
282,0.0368595,-1.71661e-07,-0.2
283,0.0368571,-1.70469e-07,-0.2
284,0.0368667,-1.0252e-07,-0.2
285,0.0368571,-1.39475e-07,-0.2
286,0.036869,-1.77622e-07,-0.2
287,0.0368619,-1.5378e-07,-0.2
288,0.0368595,-1.41859e-07,-0.2
289,0.0368786,-1.28746e-07,-0.2
290,0.0368667,-1.90735e-07,-0.2
291,0.0368643,-1.4782e-07,-0.2
292,0.0368571,-1.60933e-07,-0.2
293,0.03685,-1.44243e-07,-0.2
294,0.0368714,-1.70469e-07,-0.2
295,0.0368714,-1.57356e-07,-0.2
296,0.0368381,-1.96695e-07,-0.2
297,0.0368428,-2.3365e-07,-0.2
298,0.0368762,-1.96695e-07,-0.2
299,0.0368619,-2.00272e-07,-0.2
300,0.036869,-1.23978e-07,-0.2
301,0.0368524,-1.70469e-07,-0.2
302,0.0368476,-1.84774e-07,-0.2
303,0.0368714,-1.93119e-07,-0.2
304,0.0368428,-2.0504e-07,-0.2
305,0.0368619,-1.54972e-07,-0.2
306,0.0368571,-1.72853e-07,-0.2
307,0.0368929,-1.9908e-07,-0.2
308,0.0368667,-2.06232e-07,-0.2
309,0.0368762,-1.60933e-07,-0.2
310,0.0368667,-1.45435e-07,-0.2
311,0.0368571,-1.60933e-07,-0.2
312,0.0368571,-2.15769e-07,-0.2
313,0.0368428,-2.36034e-07,-0.2
314,0.03685,-1.54972e-07,-0.2
315,0.036869,-2.19345e-07,-0.2
316,0.0368428,-1.63317e-07,-0.2
317,0.0368381,-1.54972e-07,-0.2
318,0.0368738,-1.50204e-07,-0.2
319,0.0368309,-2.00272e-07,-0.2
320,0.0368357,-1.80006e-07,-0.2
321,0.0368452,-1.37091e-07,-0.2
322,0.0368333,-1.5378e-07,-0.2
323,0.036819,-1.66893e-07,-0.2
324,0.0367904,-2.00272e-07,-0.2
325,0.0368285,-2.14577e-07,-0.2
326,0.0368071,-1.74046e-07,-0.2
327,0.0368333,-1.07288e-07,-0.2
328,0.0368142,-1.10865e-07,-0.2
329,0.0368309,-1.37091e-07,-0.2
330,0.036819,-8.34465e-08,-0.2
331,0.0368047,-1.43051e-07,-0.2
332,0.0367904,-1.19209e-07,-0.2
333,0.0368023,-1.34706e-07,-0.2
334,0.0368023,-1.19209e-07,-0.2
335,0.0367737,-1.23978e-07,-0.2
336,0.0367713,-1.27554e-07,-0.2
337,0.0367999,-1.88351e-07,-0.2
338,0.0367832,-1.78814e-07,-0.2
339,0.0368071,-1.63317e-07,-0.2
340,0.0367856,-1.70469e-07,-0.2
341,0.0367594,-1.41859e-07,-0.2
342,0.0367761,-1.71661e-07,-0.2
343,0.0367928,-2.08616e-07,-0.2
344,0.0368023,-1.72853e-07,-0.2
345,0.036788,-1.90735e-07,-0.2
346,0.0367522,-2.45571e-07,-0.2
347,0.0367904,-1.72853e-07,-0.2
